,cik_str,ticker,title
2430,1222922,EVV,Eaton Vance Ltd Duration Income Fund
2431,1173420,NG,NOVAGOLD RESOURCES INC
2432,1739566,UTZ,"Utz Brands, Inc."
2433,1293135,VET,VERMILION ENERGY INC.
2434,1332349,BKD,Brookdale Senior Living Inc.
2435,1713748,SKE,Skeena Resources Ltd
2436,40417,GAM,GENERAL AMERICAN INVESTORS CO INC
2437,1083301,WULF,TERAWULF INC.
2438,1670541,ADNT,Adient plc
2439,1854401,BRDG,Bridge Investment Group Holdings Inc.
2440,1881487,ACDC,ProFrac Holding Corp.
2441,1172052,SAFT,SAFETY INSURANCE GROUP INC
2442,916789,HELE,HELEN OF TROY LTD
2443,1308335,EOS,Eaton Vance Enhanced Equity Income Fund II
2444,1532961,NVEE,"NV5 Global, Inc."
2445,1395937,SNDX,Syndax Pharmaceuticals Inc
2446,1260563,NFJ,"Virtus Dividend, Interest & Premium Strategy Fund"
2447,1839839,JBI,"Janus International Group, Inc."
2448,1276533,JFR,NUVEEN FLOATING RATE INCOME FUND
2449,2002473,BOW,Bowhead Specialty Holdings Inc.
2450,742278,RES,RPC INC
2451,1600620,AUPH,Aurinia Pharmaceuticals Inc.
2452,837465,MODG,Topgolf Callaway Brands Corp.
2453,1392326,CCEC,Capital Clean Energy Carriers Corp.
2454,1622194,DEA,"Easterly Government Properties, Inc."
2455,1538379,IBTA,"Ibotta, Inc."
2456,1819989,CIFR,Cipher Mining Inc.
2457,1794338,IGIC,International General Insurance Holdings Ltd.
2458,1828962,CRCT,"Cricut, Inc."
2459,799167,MRTN,MARTEN TRANSPORT LTD
2460,1795250,SPHR,Sphere Entertainment Co.
2461,811596,KALU,KAISER ALUMINUM CORP
2462,1275014,UCTT,"Ultra Clean Holdings, Inc."
2463,17313,CSWC,CAPITAL SOUTHWEST CORP
2464,933267,IRS,IRSA INVESTMENTS & REPRESENTATIONS INC
2465,1693256,WTTR,"Select Water Solutions, Inc."
2466,1628908,EVH,"Evolent Health, Inc."
2467,1567569,FPF,First Trust Intermediate Duration Preferred & Income Fund
2468,1702780,ATUS,"Altice USA, Inc."
2469,715787,TILE,INTERFACE INC
2470,798359,CSR,CENTERSPACE
2471,1962746,LOT,Lotus Technology Inc.
2472,66004,MSEX,MIDDLESEX WATER CO
2473,1055160,MFA,"MFA FINANCIAL, INC."
2474,1531978,FNA,"Paragon 28, Inc."
2475,1845840,TSAT,Telesat Corp
2476,1516912,OBK,"Origin Bancorp, Inc."
2477,1562528,FBRT,"Franklin BSP Realty Trust, Inc."
2478,1651562,COUR,"Coursera, Inc."
2479,1289877,SFL,SFL Corp Ltd.
2480,58492,LEG,LEGGETT & PLATT INC
2481,1530804,TROX,Tronox Holdings plc
2482,1512920,SII,SPROTT INC.
2483,1883313,SVV,"Savers Value Village, Inc."
2484,1997859,WBTN,WEBTOON Entertainment Inc.
2485,1409493,CIM,CHIMERA INVESTMENT CORP
2486,1589526,BLBD,Blue Bird Corp
2487,1636282,SYRE,"Spyre Therapeutics, Inc."
2488,1769731,AMTD,AMTD IDEA GROUP
2489,1478320,ADPT,Adaptive Biotechnologies Corp
2490,1499505,AGRO,Adecoagro S.A.
2491,1080014,INVA,"Innoviva, Inc."
2492,1841408,DAVE,Dave Inc./DE
2493,3499,ALX,ALEXANDERS INC
2494,886744,GERN,GERON CORP
2495,1492165,PFBC,Preferred Bank
2496,1655050,BCSF,"Bain Capital Specialty Finance, Inc."
2497,110471,WWW,WOLVERINE WORLD WIDE INC /DE/
2498,1481513,JKS,"JinkoSolar Holding Co., Ltd."
2499,1808834,PRG,"PROG Holdings, Inc."
2500,1736946,ARLO,"Arlo Technologies, Inc."
2501,1709442,FSUN,FIRSTSUN CAPITAL BANCORP
2502,1923891,NNE,Nano Nuclear Energy Inc.
2503,1823144,CMPO,"CompoSecure, Inc."
2504,1657853,HTZ,"HERTZ GLOBAL HOLDINGS, INC"
2505,1406587,FOR,Forestar Group Inc.
2506,908315,WINA,WINMARK CORP
2507,1743759,CRSR,"Corsair Gaming, Inc."
2508,1396814,PCRX,"Pacira BioSciences, Inc."
2509,1288469,MXL,"MAXLINEAR, INC"
2510,1793882,PTA,Cohen & Steers Tax-Advantaged Preferred Securities & Income Fund
2511,1709682,CTOS,"Custom Truck One Source, Inc."
2512,1868912,ENFN,"Enfusion, Inc."
2513,1625101,PLSE,"PULSE BIOSCIENCES, INC."
2514,1756908,PDX,PIMCO Dynamic Income Strategy Fund
2515,854775,DGII,DIGI INTERNATIONAL INC
2516,318300,PEBO,PEOPLES BANCORP INC
2517,884219,PRSU,"Pursuit Attractions & Hospitality, Inc."
2518,1625791,KRNT,Kornit Digital Ltd.
2519,1081834,KUBR,Kuber Resources Corp
2520,947559,FBMS,FIRST BANCSHARES INC /MS/
2521,1262976,CMPR,CIMPRESS plc
2522,902791,BBSI,BARRETT BUSINESS SERVICES INC
2523,1517228,COMM,"CommScope Holding Company, Inc."
2524,1493683,BBN,BlackRock Taxable Municipal Bond Trust
2525,1111485,RXST,"RxSight, Inc."
2526,1484769,FUBO,fuboTV Inc. /FL
2527,1850235,HEPS,D-MARKET Electronic Services & Trading
2528,6845,APOG,"APOGEE ENTERPRISES, INC."
2529,1724521,RCUS,"Arcus Biosciences, Inc."
2530,1549595,NRIX,"Nurix Therapeutics, Inc."
2531,1424929,FOXF,FOX FACTORY HOLDING CORP
2532,1124105,GYRE,"GYRE THERAPEUTICS, INC."
2533,1051004,MUC,"BLACKROCK MUNIHOLDINGS CALIFORNIA QUALITY FUND, INC."
2534,1224450,RNP,COHEN & STEERS REIT & PREFERRED & INCOME FUND INC
2535,1145604,NIKA,"NIKA PHARMACEUTICALS, INC"
2536,1509991,KOS,Kosmos Energy Ltd.
2537,1688757,ESTA,ESTABLISHMENT LABS HOLDINGS INC.
2538,1877184,KMTS,"KESTRA MEDICAL TECHNOLOGIES, LTD."
2539,1704720,CNNE,"Cannae Holdings, Inc."
2540,1431695,OLO,Olo Inc.
2541,1846510,SHCO,Soho House & Co Inc.
2542,1290677,TPB,"Turning Point Brands, Inc."
2543,1669779,CWH,"Camping World Holdings, Inc."
2544,1840502,TBLA,Taboola.com Ltd.
2545,1789940,FWRG,"First Watch Restaurant Group, Inc."
2546,1746109,BFC,Bank First Corp
2547,1982518,SDHC,Smith Douglas Homes Corp.
2548,7323,EAI,"ENTERGY ARKANSAS, LLC"
2549,1672619,ELVN,"Enliven Therapeutics, Inc."
2550,1379785,BBDC,"Barings BDC, Inc."
2551,1004702,OCFC,OCEANFIRST FINANCIAL CORP
2552,1861974,ECX,ECARX Holdings Inc.
2553,1362468,ALGT,Allegiant Travel CO
2554,1379384,BTZ,BLACKROCK CREDIT ALLOCATION INCOME TRUST
2555,784199,AORT,"ARTIVION, INC."
2556,1217234,CDNA,"CareDx, Inc."
2557,107687,WGO,WINNEBAGO INDUSTRIES INC
2558,1781753,DAO,"Youdao, Inc."
2559,1832332,AVAH,"Aveanna Healthcare Holdings, Inc."
2560,912892,TV,"GRUPO TELEVISA, S.A.B."
2561,1971213,SBGI,"Sinclair, Inc."
2562,1786108,TRIN,Trinity Capital Inc.
2563,842633,TRS,TRIMAS CORP
2564,1392972,PRO,"PROS Holdings, Inc."
2565,1818502,OPFI,OppFi Inc.
2566,1117297,QNST,"QUINSTREET, INC"
2567,1807846,ML,MONEYLION INC.
2568,1018979,AMSF,AMERISAFE INC
2569,1652130,NTLA,"Intellia Therapeutics, Inc."
2570,1706431,VIR,"Vir Biotechnology, Inc."
2571,42682,GRC,GORMAN RUPP CO
2572,1142750,AMN,AMN HEALTHCARE SERVICES INC
2573,1581804,NVGS,Navigator Holdings Ltd.
2574,1489096,THR,"Thermon Group Holdings, Inc."
2575,1504619,PFLT,PennantPark Floating Rate Capital Ltd.
2576,1049782,BRKL,BROOKLINE BANCORP INC
2577,1823652,EVEX,"Eve Holding, Inc."
2578,1843181,NBXG,Neuberger Berman Next Generation Connectivity Fund Inc.
2579,2018064,TTGT,"TechTarget, Inc."
2580,1095565,HSTM,HEALTHSTREAM INC
2581,1605607,PGRE,"Paramount Group, Inc."
2582,1728190,HUYA,HUYA Inc.
2583,1779578,BGM,BGM Group Ltd.
2584,1439095,MRC,MRC GLOBAL INC.
2585,2013745,CLMT,"Calumet, Inc. /DE"
2586,930420,KFRC,KFORCE INC
2587,1868941,FLNC,"Fluence Energy, Inc."
2588,1517413,FSLY,"Fastly, Inc."
2589,710752,SBR,SABINE ROYALTY TRUST
2590,903129,THRM,Gentherm Inc
2591,1830487,PHVS,Pharvaris N.V.
2592,1418076,SLRC,SLR Investment Corp.
2593,1833835,PSFE,Paysafe Ltd
2594,1267565,COLL,"COLLEGIUM PHARMACEUTICAL, INC"
2595,350852,CTBI,COMMUNITY TRUST BANCORP INC /KY/
2596,729580,BELFA,BEL FUSE INC /NJ
2597,1699031,GRAL,"GRAIL, Inc."
2598,1640428,EVER,"EverQuote, Inc."
2599,1944558,VTS,"Vitesse Energy, Inc."
2600,1737953,REPL,"Replimune Group, Inc."
2601,1195739,NRK,NUVEEN NEW YORK AMT-FREE QUALITY MUNICIPAL INCOME FUND
2602,885639,KSS,KOHLS Corp
2603,1067294,CBRL,"CRACKER BARREL OLD COUNTRY STORE, INC"
2604,1596993,LPG,DORIAN LPG LTD.
2605,1281895,RCKT,"ROCKET PHARMACEUTICALS, INC."
2606,1235468,LQDT,LIQUIDITY SERVICES INC
2607,1005817,TMP,TOMPKINS FINANCIAL CORP
2608,1820721,ARRY,"Array Technologies, Inc."
2609,1762301,FVRR,Fiverr International Ltd.
2610,1857154,DNUT,"Krispy Kreme, Inc."
2611,906013,AWF,ALLIANCEBERNSTEIN GLOBAL HIGH INCOME FUND INC
2612,1988776,MRNO,Murano Global Investments Plc
2613,1326732,XNCR,Xencor Inc
2614,1604174,ECC,Eagle Point Credit Co Inc.
