,Unnamed: 0,cik_str,ticker,title
4860,7290,1393311,PSA-PH,Public Storage
4861,7291,1359519,SVNDF,SEVEN & I HOLDINGS CO LTD
4862,7292,1116578,PUKPF,PRUDENTIAL PLC
4863,7293,1001085,BAMGF,BROOKFIELD Corp /ON/
4864,7294,1450468,MRAAF,"Murata Manufacturing Co., Ltd./ADR"
4865,7295,886986,TCKRF,TECK RESOURCES LTD
4866,7296,899051,ALL-PH,ALLSTATE CORP
4867,7297,1512673,BSQKZ,"Block, Inc."
4868,7298,899051,ALL-PB,ALLSTATE CORP
4869,7299,1393311,PSA-PK,Public Storage
4870,7300,844150,RBSPF,NatWest Group plc
4871,7301,1329099,BAIDF,"Baidu, Inc."
4872,7302,1038143,FNCTF,ORANGE
4873,7303,16988,CAJPY,CANON INC
4874,7304,800365,FUJIF,FUJI PHOTO FILM CO LTD /FI
4875,7305,46619,HEI-A,HEICO CORP
4876,7306,920760,LEN-B,LENNAR CORP /NEW/
4877,7307,1535628,CIXPF,CaixaBank/ADR
4878,7308,312069,BCLYF,BARCLAYS PLC
4879,7309,924613,NOKBF,NOKIA CORP
4880,7310,943819,RSMDF,RESMED INC
4881,7311,1791706,LAAOF,Li Auto Inc.
4882,7312,717826,ERIXF,ERICSSON LM TELEPHONE CO
4883,7313,1070304,ORXCF,ORIX CORP
4884,7314,814052,TEFOF,TELEFONICA S A
4885,7315,1160330,BBDO,BANK BRADESCO
4886,7316,1434265,GNMSF,GENMAB A/S
4887,7317,35527,FITB,FIFTH THIRD BANCORP
4888,7318,1700171,ANNSF,Aena S.A./ADR
4889,7319,1297996,DLR-PK,"DIGITAL REALTY TRUST, INC."
4890,7320,733099,RCIAF,ROGERS COMMUNICATIONS INC
4891,7321,1334687,CJPRF,CENTRAL JAPAN RAILWAY CO
4892,7322,1243429,AMSYF,ArcelorMittal
4893,7323,1436778,SAXPF,Sampo OYJ
4894,7324,1810997,XPNGF,XPENG INC.
4895,7325,798941,FCNCB,FIRST CITIZENS BANCSHARES INC /DE/
